"UPC","Item","Size","QTY","Best Case Price"
"82000002550","SEAGRAMS SEVEN DARK HONEY, LTR [204833]","LTR","12",197.49
"82000003793","CAPT MORGAN WHITE RUM, 200 [204037]","200","48",185.28
"82000003809","CAPT MORGAN WHITE RUM, 375 [204036]","375","24",149.28
"82000004776","SMIRNOFF RUBY RED GRAPE 12/10P, 50ML [248618]","50ML","12",127
"82000004882","CAPT MORGAN COCONUT, 750 [203504]","750","12",134.29
"82000004929","CAPT MORGAN PINEAPPLE, 750 [203304]","750","12",134.29
"82000004967","CAPT MORGAN GRAPEFRUIT, 750 [203404]","750","12",134.29
"82000743491","CAPTAIN MORGAN LI ICED TEA, 750 [204704]","750","12",124.69
"82000743507","CAPTAIN MORGAN LI ICED TEA PET, 1.75 [204702]","1.75","6",95.95
"82000752967","BULLEIT RYE, 750 [215284]","750","12",361.75
"82000752974","BULLEIT RYE, LTR [215283]","LTR","12",430.15
"82000759454","GEORGE DICKEL RYE, 750 [279704]","750","12",258.56
"820007599461","GEORGE DICKEL RYE, LTR [279703]","LTR","12",316.61
"82000767633","SEAGRAMS 7 CROWN ORCH APPLE, LTR [204923]","LTR","12",0
"82000769903","SMIRNOFF SOUR APPLE, 750 [248404]","750","12",0
"82000769910","SMIRNOFF SOUR APPLE, LTR [248403]","LTR","12",0
"82000769934","SMIRNOFF SOUR PUNCH, 750 [248504]","750","12",67
"82000769965","SMIRNOFF SOUR WATERMELON, 750 [248604]","750","12",134.35
"82000772866","SMIRNOFF RUBY RED GRAPEFRUIT, 750 [248614]","750","12",134.35
"82000772873","SMIRNOFF RUBY RED GRAPEFRUIT, LTR [248613]","LTR","12",187
"82000772880","SMIRNOFF RUBY RED GRAPEFRUIT, 1.75 [248612]","1.75","6",102.94
"82000773146","CAPT MORGAN COCONUT, LTR [203503]","LTR","12",260.45
"82000773153","CAPT MORGAN PINEAPPLE, LTR [203303]","LTR","12",260.45
"82000773177","CAPT MORGAN COCONUT, 1.75 [203502]","1.75","6",143.4
"82000773184","CAPT MORGAN PINEAPPLE, 1.75 [203302]","1.75","6",143.4
"82000773313","CAPT MORGAN GRAPEFRUIT, LTR [203403]","LTR","12",260.45
"82000773320","CAPT MORGAN GRAPEFRUIT, 1.75 [203402]","1.75","6",143.4
"82000788096","SMIRNOFF RED,WHT & BERRY, LTR [249003]","LTR","12",0
"821753826192","ARDBEG PERPETUUM 6/CS, 750 [220854]","750","6",500
"8237107","CIROC PINEAPPLE 4/15PK, 50ML [243158]","50ML","4",129.92
"8241100","SMIRNOFF SOUR APPLE 12/10PK, 50ML [248408]","50ML","12",127
"8241207","SMIRNOFF SOUR PUNCH 12/10PK, 50ML [248508]","50ML","12",127
"8241304","SMIRNOFF SOUR WATERMELON 12/10, 50ML [248605]","50ML","12",127
"8241508","SMIRNOFF PEACH SOR LT 12/10PK, 50ML [248208]","50ML","12",127
"8252009","BAILEYS ALMANDE 12/10PKS, 50ML [214028]","50ML","12",0
"83300072045","ARDBEG UIGEDAIL 6/CS, 750 [220734]","750","6",353
"83300072106","ARDBEG 10YR 6/CS, 750 [220744]","750","6",265
"85155001409","CHANDON ROSE 24/CS, 187 [263277]","187","24",142.5
"85155002017","CHANDON BRUT, 375 [263276]","375","24",234
"85155120407","CHANDON ROSE, 750 [263274]","750","12",204
"85155273219","CHANDON BRUT HOLIDAY, 750 [263604]","750","12",0
"85155273332","CHANDON BRUT AMERICAN SUM 18, 750 [263524]","750","12",204
"8515527340","CHANDON ROSE HOLIDAY, 750 [263275]","750","12",0
"85156003754","KETEL ONE CITROEN 12/CS, 375 [229046]","375","12",85.63
"85156007509","KETEL ONE CITROEN, 750 [229044]","750","12",220.75
"85156010004","KETEL ONE CITROEN, LTR [229043]","LTR","12",345.38
"85156017508","KETEL ONE CITROEN, 1.75 [229042]","1.75","6",199.94
"86767703842","BAILEYS VANILLA CINNAMON, 750 [204074]","750","12",274.5
"86767704436","BAILEYS CHOCOLATE CHERRY, 750 [204084]","750","12",274.5
"86767704504","BAILEYS SALTED CARAMEL, LTR [204093]","LTR","12",345.9
"87116069657","BELVEDERE PURE 12/CS, 375 [214106]","375","12",182.78
"87116069688","BELVEDERE PURE 6/CS, 750 [214104]","750","6",23.75
"87116069732","BELVEDERE PURE 6/CS, 1.75 [214110]","1.75","6",336.6
"87116069817","BELVEDERE PURE 6/CS, LTR [214103]","LTR","6",204.7
"87116069930","BELVEDERE CITRUS 6/CS, LTR [214133]","LTR","6",204.7
"87116069954","BELVEDERE CITRUS 6/CS, 750 [214134]","750","6",23.75
"88076161283","HENNESSY PRIV VSOP, 1.75 [261292]","1.75","6",665.53
"88076161658","MOET NECTAR IMP ROSE 6/CS, 750 [263134]","750","6",310
"88076167209","RUINART BLANC DE BLANCS 12/CS, 375 [227406]","375","12",458
"88076167223","RUINART BLANC DE BLANC 6/CS, 750 [227404]","750","6",410
"88076167346","RUINART ROSE 12/CS, 375 [227416]","375","12",483
"88076167353","RUINART ROSE 6/CS, 750 [227414]","750","6",422
"88076167469","MOET NECT IMP ROSE 3/CS, 1.5 [263132]","1.5","3",318.5
"88076168657","TANQUERAY RANGPUR, LTR [220163]","LTR","12",350.25
"88076168664","TANQUERAY RANGPUR, 1.75 [220162]","1.75","6",211.34
"88076169180","MOET IMPERIAL 1/CS, 3L [263110]","3L","1",357
"88076169432","MOET BRUT IMP ROSE N/V 3/CS, 1.5 [236162]","1.5","3",200
"88076174689","LAGAVULIN 12YR 113 6/CS, 750 [221464]","750","6",645
"88076179028","TALISKER STORM 6/CS, 750 [221414]","750","6",192
"88076182783","J WALKER WHITE WALKER, 750 [220404]","750","12",0
"88110150525","HENNESSY VS 24/CS, 200 [261197]","200","24",207.5
"88110150617","HENNESSY VS 96/CS, 100 [261186]","100","96",541
"88110150624","HENNESSY VS FLASK 12/CS, 375 [261196]","375","12",210.85
"88110150631","HENNESSY VS ROUND 12/CS, 375 [261176]","375","12",210.85
"88110151034","HENNESSY PRIV VSOP FLASK 12/CS, 375 [261285]","375","12",310.4
"88110151034","HENNESSY PRIV VSOP ROUND 12/CS, 375 [261286]","375","12",310.4
"88110158958","TERRAZAS CAB SAUV 17/18, 750 [262504]","750","12",107
"88110158972","TERRAZAS ALTO CHARD 17/18, 750 [262494]","750","12",107
"88110158989","TERRAZAS CAB RES 16, 750 [262534]","750","12",178.5
"881101589966","TERRAZAS MALBEC RES 16/17, 750 [262524]","750","12",178.5
"88110159016","TERRAZAS SV MALBEC 14/15  6CS, 750 [262624]","750","6",257
"88110551025","MOET BRUT IMP ROSE N/V 24/CS, 187 [236167]","187","24",313
"88110551056","MOET IMPERIAL 6/CS, 750 [263124]","750","6",249.56
"88110551278","MOET NECTAR IMP 3/CS, 1.5 [263112]","1.5","3",274.5
"88110556051","MOET GRAND VINT *08 6/CS, 750 [263145]","750","6",342
"88600000125","GORDON VODKA 80, 750 [215124]","750","12",153.52
"897845002005","NOLET'S SILVER GIN 4/CS, 750 [241014]","750","4",141.92
