"UPC","Item","Size","QTY","Best Case Price"
"0088076163164�","J WALKER RED, 1.75 [220052]","1.75","6",215.95
"0088076163171�","J WALKER BLACK, 1.75 [220042]","1.75","6",408
"0088076171657�","TALISKER 12YR DE 43.5 6/CS, 750 [221344]","750","6",401.94
"0088076180307","DAILUAINE 34YO D1980, 750 [221644]","750","6",2770
"0088076181373","J WALKER 18YR 6/CS, LTR [220303]","LTR","6",0
"00898017002038","DELEON EXTRA ANEJO 6/CS, 750 [291204]","750","6",1400
"0674545000322�","DON JULIO 1942 6/CS, 750 [217984]","750","6",603.32
"0674545000605�","DON JULIO REPOS 12/CS, 375 [217956]","375","12",281
"070759126115","TOMOLIVES GREEN, 8OZ [229010]","8OZ","12",28
"075496000407","ANGOSTURA BITTERS 12/CS, 4OZ [213158]","4OZ","12",86
"075496001602","ANGOSTURA BITTERS, 16OZ [213155]","16OZ","12",198.78
"075496002005","ANGOSTURA BITTERS 12/CS, 200 [213156]","200","12",129.41
"0754963311143","ANGOSTURA ORANGE BITTERS 12/CS, 4OZ [213159]","4OZ","12",86
"080076172498��","OBAN 18YR 86 PR 6/CS, 750 [221284]","750","6",0
"081753809416","CLICQUOT ROSE 3/CS, 1.5 [228182]","1.5","3",374
"081753810825","GLENMORANGIE 10YR 6/CS, LTR [220613]","LTR","6",260
"081753817916","GLENMORANGIE EMBLEM + 2GL VAP, 750 [220635]","750","6",0
"081753820947","ONP MOET RES IMPERIAL 6/CS, 750 [263120]","750","6",0
"081753825706","DOM PERIGNON LUMIN 09 L4 3/CS, 750 [263454]","750","3",0
"081753827922","CLICQUOT RICH ROSE 6/CS, 750 [228224]","750","6",0
"0817538285592","GLENMORANGIE BACALTA 6/CS, 750 [220644]","750","6",0
"081753828936","GLENMO 10YR+LANSANTA 50ML&VAP, 750 [220775]","750","6",0
"081753829186","BELVEDERE PURE ICE DUO VAP 6/C, 750 [214144]","750","6",0
"081753829285","ARDBEG 10Y FATHERS DAY VAP 6/C, 750 [220745]","750","6",265
